		613			 |			Desimal Ke Biner			 |			1001100101			 |		24-04-2020 12:41:34		 
		414			 |			Desimal Ke Biner			 |			110011110			 |		24-04-2020 12:41:34		 
		613			 |			Desimal Ke Octal			 |			1145			 |		24-04-2020 12:41:42		 
		414			 |			Desimal Ke Octal			 |			636			 |		24-04-2020 12:41:42		 
		613			 |			Desimal Ke Hexadesimal			 |			265			 |		24-04-2020 12:41:48		 
		414			 |			Desimal Ke Hexadesimal			 |			19e			 |		24-04-2020 12:41:48		 
		1001100101			 |			Biner Ke Desimal			 |			613			 |		24-04-2020 12:42:18		 
		110011110			 |			Biner Ke Desimal			 |			414			 |		24-04-2020 12:42:18		 
		1145			 |			Octal Ke Desimal			 |			613			 |		24-04-2020 12:42:31		 
		636			 |			Octal Ke Desimal			 |			414			 |		24-04-2020 12:42:31		 
		265			 |			Hexadesimal Ke Desimal			 |			613			 |		24-04-2020 12:42:43		 
		19e			 |			Hexadesimal Ke Desimal			 |			414			 |		24-04-2020 12:42:43		 
		1001100101			 |			Desimal Ke Biner			 |			111011101010111001001101000101			 |		24-04-2020 12:51:54		 
		110011110			 |			Desimal Ke Biner			 |			110100011101010001011100110			 |		24-04-2020 12:51:54		 
		1001100101			 |			Desimal Ke Biner			 |			111011101010111001001101000101			 |		24-04-2020 12:54:51		 
		110011110			 |			Desimal Ke Biner			 |			110100011101010001011100110			 |		24-04-2020 12:54:51		 
		613			 |			Desimal Ke Biner			 |			1001100101			 |		24-04-2020 12:55:37		 
		414			 |			Desimal Ke Biner			 |			110011110			 |		24-04-2020 12:55:37		 
		123			 |			Desimal Ke Biner			 |			01111011			 |		24-04-2020 12:55:37		 
		456			 |			Desimal Ke Biner			 |			111001000			 |		24-04-2020 12:55:37		 
		1001100101			 |			Biner Ke Desimal			 |			613			 |		24-04-2020 12:56:01		 
		110011110			 |			Biner Ke Desimal			 |			414			 |		24-04-2020 12:56:01		 
		01111011			 |			Biner Ke Desimal			 |			123			 |		24-04-2020 12:56:01		 
		111001000			 |			Biner Ke Desimal			 |			456			 |		24-04-2020 12:56:01		 
		613DA			 |			Desimal Ke Biner			 |			1001100101			 |		24-04-2020 01:01:25		 
					 |			Desimal Ke Biner			 |			00000000			 |		24-04-2020 01:01:25		 
		1001100101			 |			Desimal Ke Biner			 |			111011101010111001001101000101			 |		24-04-2020 02:08:46		
		110011110			 |			Desimal Ke Biner			 |			110100011101010001011100110			 |		24-04-2020 02:08:46		
		1001100101			 |			Biner Ke Hexadesimal			 |			265			 |		24-04-2020 02:09:10		
		110011110			 |			Biner Ke Hexadesimal			 |			19e			 |		24-04-2020 02:09:10		
		265			 |			Hexadesimal ke Biner			 |			1			 |		24-04-2020 02:09:45		
		19e			 |			Hexadesimal ke Biner			 |			1			 |		24-04-2020 02:09:45		
		265			 |			Desimal Ke Biner			 |			100001001			 |		24-04-2020 02:12:23		
		19e			 |			Desimal Ke Biner			 |			00010011			 |		24-04-2020 02:12:23		
		265			 |			Hexadesimal ke Biner			 |			1001100101			 |		24-04-2020 02:13:05		
		19e			 |			Hexadesimal ke Biner			 |			110011110			 |		24-04-2020 02:13:05		
		1001100101			 |			Biner ke Octal			 |			1145			 |		24-04-2020 02:18:36		
		110011110			 |			Biner ke Octal			 |			636			 |		24-04-2020 02:18:36		
		1145			 |			Octal ke Biner			 |			1001100101			 |		24-04-2020 02:18:57		
		636			 |			Octal ke Biner			 |			110011110			 |		24-04-2020 02:18:57		
		1145			 |			Octal ke Hexadesimal			 |			265			 |		24-04-2020 02:23:01		
		636			 |			Octal ke Hexadesimal			 |			19e			 |		24-04-2020 02:23:01		
		265			 |			Hexadesimal ke Octal			 |			1145			 |		24-04-2020 02:23:16		
		19e			 |			Hexadesimal ke Octal			 |			636			 |		24-04-2020 02:23:16		
